Project,File,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Duplicate Abstraction,Duplicate Code,Empty Catch Block,Feature Envy,Hub-like Modularization,Imperative Abstraction,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Default,Missing Hierarchy,Multifaceted Abstraction,Multipath Hierarchy,Rebellious Hierarchy,Unexploited Encapsulation,Unfactored Hierarchy,Unnecessary Abstraction,Unutilized Abstraction,Virtual Method Call from Constructor,Wide Hierarchy
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Attribute\EnumAttachedAttribute.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Attribute\UseTranAttribute.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\DB\AppSecretConfig.cs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\DB\MainDb.cs,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Extensions\EnumExtensions.cs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions_Nacos.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Extensions\Extention.Expression.cs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Extensions\GenericTypeExtensions.cs,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
