Project,File Path,Line Count
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryMenuViewComponent.cs,57
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryWidgetViewComponent.cs,53
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\ProductWidgetViewComponent.cs,72
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\SimpleProductWidgetViewComponent.cs,60
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\BrandApiController.cs,112
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\BrandController.cs,164
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\CategoryApiController.cs,247
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\CategoryController.cs,188
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\CategoryTranslationApiController.cs,100
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\CategoryWidgetApiController.cs,83
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductApiController.cs,946
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductAttributeApiController.cs,102
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductAttributeGroupApiController.cs,99
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductCloneApiController.cs,96
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductController.cs,222
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductOptionApiController.cs,92
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductPriceApiController.cs,117
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductTemplateApiController.cs,144
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductTranslationApiController.cs,108
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\ProductWidgetApiController.cs,94
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Controllers\SimpleProductWidgetApiController.cs,92
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\BrandForm.cs,20
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\BrandVm.cs,7
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\CategoryForm.cs,41
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\CategoryListItem.cs,17
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\CategoryMenuItem.cs,28
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\CategoryThumbnail.cs,33
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\CategoryTranslationForm.cs,11
