Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,UserSearchOption,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,WidgetFormBase,0,0,6,0,0,10,0,6,0,-1,0,6
SimplCommerce,WidgetInstanceViewModel,0,0,7,0,0,10,0,0,0,-1,0,7
SimplCommerce,AddPhoneNumberViewModel,0,0,1,0,0,7,0,0,0,-1,0,0
SimplCommerce,ChangePasswordViewModel,0,0,3,0,0,16,0,0,0,-1,0,1
SimplCommerce,ConfigureTwoFactorViewModel,0,0,2,0,0,5,0,0,0,-1,0,0
SimplCommerce,DefaultAddressViewComponentVm,0,0,1,0,0,4,0,0,0,-1,1,1
SimplCommerce,FactorViewModel,0,0,1,0,0,4,0,0,0,-1,0,0
SimplCommerce,IndexViewModel,0,0,7,0,0,10,0,0,0,-1,0,1
SimplCommerce,ManageLoginsViewModel,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,RemoveLoginViewModel,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,SetPasswordViewModel,0,0,2,0,0,12,0,0,0,-1,0,1
SimplCommerce,UserInfoVm,0,0,2,0,0,7,0,0,0,-1,0,1
SimplCommerce,UserSettingViewModel,0,1,2,0,1,10,1,0,0,-1,1,1
SimplCommerce,VerifyPhoneNumberViewModel,0,0,2,0,0,9,0,0,0,-1,0,0
SimplCommerce,CoreCustomModelBuilder,0,1,0,0,1,80,1,0,1,-1,11,0
SimplCommerce,CoreSeedData,0,1,0,0,1,51,1,0,0,-1,10,1
SimplCommerce,Repository<T>,0,1,0,0,1,7,1,0,2,-1,4,4
SimplCommerce,"RepositoryWithTypedId<T,TId>",0,8,2,0,8,38,8,0,1,-1,3,1
SimplCommerce,SimplDbContext,0,8,0,0,3,112,22,0,0,-1,8,13
SimplCommerce,EntityDeleting,0,0,1,0,0,4,0,0,0,-1,0,3
SimplCommerce,EntityViewed,0,0,2,0,0,5,0,0,0,-1,0,3
SimplCommerce,ReviewSummaryChanged,0,0,4,0,0,7,0,0,0,-1,0,3
SimplCommerce,UserSignedIn,0,0,1,0,0,4,0,0,0,-1,0,6
SimplCommerce,EFConfigProvider,0,2,1,0,2,17,2,0,0,-1,1,1
SimplCommerce,EFConfigSource,1,2,0,0,2,12,2,0,0,0,1,1
SimplCommerce,EFConfigurationDbContext,0,2,1,0,1,11,2,0,0,-1,1,1
SimplCommerce,EFConfigurationProviderExtension,0,1,0,0,1,7,1,0,0,-1,1,0
SimplCommerce,IWorkContext,0,2,0,0,0,5,2,1,0,-1,1,49
SimplCommerce,LocalizedStringExtensions,0,1,0,0,1,13,1,0,0,-1,0,0
SimplCommerce,SimplRoleStore,0,1,0,0,1,6,1,0,0,-1,3,1
SimplCommerce,SimplSignInManager<TUser>,1,2,0,0,2,22,2,0,0,0,1,1
SimplCommerce,SimplUserStore,0,1,0,0,1,7,1,0,0,-1,4,1
SimplCommerce,SlugRouteValueTransformer,1,2,0,0,2,32,4,0,0,0,2,0
SimplCommerce,WorkContext,7,5,0,0,3,75,10,0,1,0,4,1
SimplCommerce,SettingDefinition,0,2,6,0,2,67,4,0,0,-1,0,3
SimplCommerce,SettingDefinitionExtensions,0,1,0,0,1,13,1,0,0,-1,2,0
SimplCommerce,SettingDefinitionProvider,0,4,1,0,4,27,6,0,0,-1,1,4
SimplCommerce,ModuleInitializer,0,2,0,0,2,19,2,0,1,-1,19,0
SimplCommerce,AppendVersionTagHelper,2,3,2,0,2,40,7,0,0,0,0,0
SimplCommerce,Address,0,2,13,0,2,30,2,0,1,-1,5,10
SimplCommerce,AddressType,0,0,0,0,0,5,0,0,0,-1,0,5
