Project,Method,LOC,CC,PC
SimplCommerce,GetLocalizationFunction,0,1,0
SimplCommerce,GetLocalizationFunction,0,1,1
SimplCommerce,FormatCurrency,0,1,1
SimplCommerce,SendEmailAsync,0,1,4
SimplCommerce,ToSafeSlug,0,1,3
SimplCommerce,Get,0,1,2
SimplCommerce,Add,0,1,4
SimplCommerce,Update,0,1,4
SimplCommerce,Remove,0,1,2
SimplCommerce,GetMediaUrl,0,1,1
SimplCommerce,GetMediaUrl,0,1,1
SimplCommerce,GetThumbnailUrl,0,1,1
SimplCommerce,SaveMediaAsync,0,1,3
SimplCommerce,DeleteMediaAsync,0,1,1
SimplCommerce,DeleteMediaAsync,0,1,1
SimplCommerce,Convert,0,1,1
SimplCommerce,GetSettingValueAsync,0,1,1
SimplCommerce,GetSettingValueForUserAsync,0,1,2
SimplCommerce,GetAllSettingsAsync,0,1,0
SimplCommerce,GetAllSettingsForUserAsync,0,1,1
SimplCommerce,UpdateSettingForUserAsync,0,1,3
SimplCommerce,UpdateSettingAsync,0,1,2
SimplCommerce,SetCustomSettingValueForUser,0,1,3
SimplCommerce,SendSmsAsync,0,1,2
SimplCommerce,GetMediaUrl,0,1,1
SimplCommerce,SaveMediaAsync,0,1,3
SimplCommerce,DeleteMediaAsync,0,1,1
SimplCommerce,GetInstalledThemes,0,1,0
SimplCommerce,SetCurrentTheme,0,1,1
SimplCommerce,PackTheme,0,1,1
SimplCommerce,Install,0,1,2
SimplCommerce,Delete,0,1,1
SimplCommerce,GetPublished,0,1,0
SimplCommerce,MediaService,4,1,2
SimplCommerce,GetMediaUrl,7,2,1
SimplCommerce,GetMediaUrl,3,1,1
SimplCommerce,GetThumbnailUrl,3,1,1
SimplCommerce,SaveMediaAsync,3,1,3
SimplCommerce,DeleteMediaAsync,4,1,1
SimplCommerce,DeleteMediaAsync,3,1,1
SimplCommerce,SettingService,5,1,3
SimplCommerce,GetSettingValueAsync,4,1,1
SimplCommerce,GetSettingValueForUserAsync,4,1,2
SimplCommerce,GetAllSettingsAsync,4,1,0
SimplCommerce,GetAllSettingsForUserAsync,14,3,1
SimplCommerce,UpdateSettingForUserAsync,4,1,3
SimplCommerce,UpdateSettingAsync,4,1,2
SimplCommerce,SetCustomSettingValueForUser,16,3,3
SimplCommerce,GetCustomSettingValue,4,1,2
SimplCommerce,GetAllCustomSettings,4,1,1
SimplCommerce,SendSmsAsync,4,1,2
SimplCommerce,ThemeService,5,1,2
SimplCommerce,GetInstalledThemes,34,3,0
SimplCommerce,SetCurrentTheme,6,1,1
SimplCommerce,PackTheme,12,1,1
SimplCommerce,Install,15,1,2
SimplCommerce,Delete,4,1,1
SimplCommerce,DirectoryCopy,26,6,3
SimplCommerce,WidgetInstanceService,3,1,1
SimplCommerce,GetPublished,6,1,0
SimplCommerce,CategoryBreadcrumbViewComponent,4,1,2
SimplCommerce,Invoke,13,2,2
SimplCommerce,Create,25,2,1
SimplCommerce,CategoryMenuViewComponent,4,1,2
SimplCommerce,Invoke,11,2,0
SimplCommerce,Map,15,2,1
SimplCommerce,CategoryWidgetViewComponent,5,1,3
SimplCommerce,Invoke,22,2,1
SimplCommerce,ProductWidgetViewComponent,6,1,4
SimplCommerce,Invoke,30,4,1
SimplCommerce,SimpleProductWidgetViewComponent,6,1,4
SimplCommerce,Invoke,21,3,1
SimplCommerce,BrandApiController,4,1,2
SimplCommerce,Get,12,1,0
SimplCommerce,Get,15,2,1
SimplCommerce,Post,10,1,1
SimplCommerce,Put,12,2,2
SimplCommerce,Delete,9,2,1
SimplCommerce,BrandController,9,1,7
SimplCommerce,BrandDetail,60,8,2
SimplCommerce,ApplySort,13,2,2
SimplCommerce,AppendFilterOptionsToModel,26,2,2
SimplCommerce,CategoryApiController,6,1,4
SimplCommerce,Get,4,1,0
SimplCommerce,Get,19,1,1
SimplCommerce,Post,22,2,1
SimplCommerce,Put,29,4,2
SimplCommerce,Delete,13,3,1
SimplCommerce,GetProducts,29,4,2
SimplCommerce,UpdateProduct,11,2,2
SimplCommerce,SaveCategoryImage,14,3,2
SimplCommerce,SaveFile,6,1,1
SimplCommerce,HaveCircularNesting,14,3,2
SimplCommerce,CategoryController,9,1,7
SimplCommerce,CategoryDetail,71,9,2
SimplCommerce,ApplySort,13,2,2
SimplCommerce,AppendFilterOptionsToModel,36,2,2
