Project,Design smell,Namespace,Class,File,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,RoleApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\RoleApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,StateOrProvinceApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\StateOrProvinceApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,StateOrProvinceApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\StateOrProvinceApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,StateOrProvinceApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\StateOrProvinceApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,ThemeApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\ThemeApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,UserAddressController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\UserAddressController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,UserAddressController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\UserAddressController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,UserApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\UserApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,UserApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\UserApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,WidgetApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\WidgetApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,WidgetInstanceApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\WidgetInstanceApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,WidgetInstanceApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\WidgetInstanceApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,WidgetZoneApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\WidgetZoneApiController.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,ExternalLoginConfirmationViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\ExternalLoginConfirmationViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,ForgotPasswordViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\ForgotPasswordViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,LoginViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\LoginViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,RegisterViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\RegisterViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,ResetPasswordViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\ResetPasswordViewModel.cs,
