Project,Design smell,Namespace,Class,File
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductTemplate,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductTemplate.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductTemplateProductAttribute,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductTemplateProductAttribute.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductAttribute,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductAttribute.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductAttributeGroup,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductAttributeGroup.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductAttributeValue,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductAttributeValue.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductLink,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductLink.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductMedia,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductMedia.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionCombination,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionCombination.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionValue,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionValue.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductPriceHistory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductPriceHistory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Areas.Orders.ViewModels,AddressFormVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Areas\Orders\ViewModels\AddressFormVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Areas.Orders.ViewModels,OrderExportVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Areas\Orders\ViewModels\OrderExportVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Areas.Orders.ViewModels,OrderHistoryProductVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Areas\Orders\ViewModels\OrderHistoryProductVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Areas.Orders.ViewModels,OrderLineExportVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Areas\Orders\ViewModels\OrderLineExportVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Events,OrderChanged,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Events\OrderChanged.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Models,OrderAddress,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Models\OrderAddress.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Models,OrderHistory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Models\OrderHistory.cs
