File,Smell
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Insufficient Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UnicodeHelper.cs,"['Unutilized Abstraction', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UrlHelper.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UtilConvert.cs,"['Unutilized Abstraction', 'Complex Method', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\WeChatHelper.cs,"['Unutilized Abstraction', 'Long Statement', 'Insufficient Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\XmlHelper.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Https\HttpPolly\HttpPollyHelper.cs,"['Duplicate Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction', 'Rebellious Hierarchy']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Hubs\ChatHub.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\LogHelper\LogInfo.cs,"['Unnecessary Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\LogHelper\LogLock.cs,"['Long Method', 'Complex Method', 'Complex Method', 'Complex Method', 'Long Parameter List', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Empty Catch Block', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Missing Default']"
