Project,File Path,Line Count
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\AllowedType.cs,93
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\DefaultFileOperations.cs,171
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\DefaultSearchMatcher.cs,24
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FileDialogHistory.cs,97
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FileDialogState.cs,90
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FileDialogStyle.cs,203
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FilesSelectedEventArgs.cs,21
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FileSystemInfoStats.cs,110
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\FileSystemTreeBuilder.cs,60
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\IFileOperations.cs,36
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\FileServices\ISearchMatcher.cs,13
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\Command.cs,293
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\CommandContext.cs,44
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\GrabMouseEventArgs.cs,18
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\Key.cs,1037
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\KeyBinding.cs,50
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\KeyBindings.cs,391
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\KeyBindingScope.cs,42
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\KeyChangedEventArgs.cs,23
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\KeystrokeNavigatorEventArgs.cs,12
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\Mouse.cs,146
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\MouseEventEventArgs.cs,32
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\MouseFlagsChangedEventArgs.cs,20
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\PointEventArgs.cs,12
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\Responder.cs,89
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Input\ShortcutHelper.cs,173
Terminal.Gui,"DesigniteProjects\Terminal.Gui\Terminal.Gui\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs",4
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\obj\Debug\net8.0\Terminal.Gui.AssemblyInfo.cs,27
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\obj\Debug\net8.0\Terminal.Gui.GlobalUsings.g.cs,13
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Resources\GlobalResources.cs,70
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Resources\ResourceManagerWrapper.cs,112
