Project,File,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Duplicate Abstraction,Duplicate Code,Empty Catch Block,Feature Envy,Hub-like Modularization,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Default,Multipath Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Unnecessary Abstraction,Unutilized Abstraction,Virtual Method Call from Constructor,Wide Hierarchy
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\v2\ApbController.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\AutofacPropertityModuleReg.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalAuthorizeFilter.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.714285714285715,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalExceptionFilter.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.416666666666666,0.0,0.0,0.0,0.0,10.416666666666666,31.25,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalRoutePrefixFilter.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.607843137254903,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\UserRegisterVo.cs,0.0,14.925373134328359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.925373134328359,0.0,0.0,0.0,0.0,29.850746268656717,14.925373134328359,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\CachingAttribute.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8235294117647,58.8235294117647,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\EnumAttachedAttribute.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.714285714285715,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\UseTranAttribute.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8235294117647,58.8235294117647,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\AppSecretConfig.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27659574468085,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs,0.0,6.451612903225806,0.0,0.0,0.0,0.0,12.903225806451612,0.0,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\MainDb.cs,0.0,0.0,0.0,0.0,0.0,0.0,285.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.85714285714286,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\EnumExtensions.cs,0.0,8.547008547008549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.547008547008549,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.608294930875576,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions_Nacos.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578947368421052,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\Extention.Expression.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5839793281653747,0.0,0.0,18.08785529715762,0.0,0.0,0.0,0.0,0.0,0.0,2.5839793281653747,2.5839793281653747,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\GenericTypeExtensions.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs,0.0,0.0,0.0,0.0,0.0,0.0,76.92307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6923076923077,38.46153846153847,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Appsettings.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base32Helper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.31683168316832,0.0,0.0,0.0,0.0,0.0,9.900990099009901,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs,0.0,0.0,0.0,4.184100418410042,0.0,0.0,16.736401673640167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.30962343096238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\CCBPayUtil.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.795066413662239,0.0,0.0,0.0,0.0,0.0,9.487666034155597,17.077798861480076,39.84819734345351,0.0,0.0,0.0,0.0,7.590132827324478,3.795066413662239,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\ConsoleTable.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06060606060606,0.0,0.0,0.0,0.0,0.0,0.0,3.03030303030303,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\DrawTableInfo.cs,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,28.57142857142857,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\TableExtension.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.622516556291392,33.11258278145696,0.0,0.0,0.0,0.0,0.0,6.622516556291392,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\DateHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068965,0.0,0.0,0.0,0.0,0.0,17.241379310344826,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\DynamicLinqFactory.cs,0.0,1.5082956259426847,0.0,4.524886877828055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5082956259426847,1.5082956259426847,0.0,0.0,0.0,0.0,0.0,1.5082956259426847,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\FileHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\GenericTypeExtensions.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\HtmlHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.666666666666664,0.0,0.0
