Project,Method,LOC,CC,PC
greenshot,SelectCaptureWindow,18,3,1
greenshot,IsWpf,25,4,1
greenshot,CaptureWindow,215,31,3
greenshot,SetDpi,17,2,0
greenshot,CaptureWithFeedback,32,4,0
greenshot,CopyDataTransport,3,1,0
greenshot,CopyDataTransport,3,1,1
greenshot,CopyDataTransport,3,1,2
greenshot,AddCommand,3,1,1
greenshot,AddCommand,3,1,2
greenshot,WndProc,29,5,1
greenshot,OnCopyDataReceived,3,1,1
greenshot,OnHandleChange,5,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,5,2,1
greenshot,CopyData,3,1,0
greenshot,CopyDataReceivedEventArgs,6,1,3
greenshot,GetEnumerator,3,1,0
greenshot,Add,4,1,1
greenshot,Remove,3,1,1
greenshot,Contains,3,1,1
greenshot,OnClear,7,2,0
greenshot,OnRemoveComplete,4,1,2
greenshot,OnHandleChange,6,2,0
greenshot,CopyDataChannels,3,1,1
greenshot,GetProp,0,1,2
greenshot,SetProp,0,1,3
greenshot,RemoveProp,0,1,2
greenshot,SendMessage,0,1,4
greenshot,Send,57,6,1
greenshot,AddChannel,4,1,0
greenshot,RemoveChannel,4,1,0
greenshot,OnHandleChange,4,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,8,3,1
greenshot,CopyDataChannel,5,1,2
greenshot,CopyDataObjectData,10,2,2
greenshot,ActivateIeTab,10,2,2
greenshot,IsIeWindow,11,3,1
greenshot,GetIeWindows,17,5,0
greenshot,IsIeRunning,3,1,0
greenshot,GetBrowserTabs,61,9,0
greenshot,GetHtmlDocument,32,5,1
greenshot,CreateDocumentContainer,123,13,1
greenshot,CaptureIe,134,9,2
greenshot,PrepareCapture,87,6,2
greenshot,CapturePage,26,3,2
greenshot,DrawDocument,92,8,3
greenshot,SendImage,17,4,2
greenshot,SendImage,8,2,2
greenshot,MapiMailMessage,5,1,0
greenshot,MapiMailMessage,4,1,2
greenshot,ShowDialog,13,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,7,2,1
greenshot,ShowMail,42,6,0
greenshot,DeallocFiles,15,3,1
greenshot,AllocAttachments,28,4,1
greenshot,GetMapiError,34,1,1
greenshot,MapiHelperInterop,3,1,0
greenshot,MAPISendMail,0,1,5
greenshot,Recipient,4,1,2
greenshot,GetInteropRepresentation,14,2,0
greenshot,Add,3,1,1
greenshot,GetInteropRepresentation,3,1,0
greenshot,InteropRecipientCollection,20,3,1
greenshot,Dispose,16,3,0
greenshot,NotifyIconNotificationService,3,1,0
greenshot,ShowWarningMessage,3,1,4
greenshot,ShowErrorMessage,3,1,4
greenshot,ShowInfoMessage,3,1,4
greenshot,ShowMessage,39,3,5
greenshot,Shutdown,7,2,0
greenshot,FillListView,15,2,1
greenshot,IsSelectedItemConfigurable,8,2,1
greenshot,ConfigureSelectedItem,15,3,1
greenshot,GetThumbnail,3,1,3
greenshot,ThumbnailCallback,3,1,0
greenshot,ExportCapture,3,1,4
greenshot,CaptureRegion,3,1,2
greenshot,ImportCapture,4,1,1
greenshot,GetCapture,11,1,1
greenshot,FindPluginsOnPath,13,2,1
greenshot,LoadPlugins,50,6,0
greenshot,PrintHelper,8,1,2
greenshot,Dispose,4,1,0
greenshot,Dispose,10,2,1
greenshot,PrintTo,23,3,1
greenshot,PrintWithDialog,23,4,0
greenshot,IsColorPrint,3,1,0
greenshot,ShowPrintOptionsDialog,9,2,0
greenshot,DrawImageForPrint,72,9,2
greenshot,ApplyEffects,15,3,1
greenshot,ResourceMutex,4,1,2
greenshot,Create,5,1,3
greenshot,Lock,49,2,0
greenshot,Dispose,18,3,1
greenshot,Dispose,5,1,0
greenshot,Initialize,30,4,0
greenshot,Play,19,3,0
greenshot,Deinitialize,15,2,0
greenshot,GetExecutablePath,3,1,0
greenshot,CanWriteRunAll,13,1,0
greenshot,CanWriteRunUser,13,1,0
greenshot,GetRunAllValue,24,4,0
greenshot,GetRunUserValue,24,4,0
greenshot,HasRunAll,11,1,0
