Project,Design smell,Namespace,Class,File,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,EffectConverter,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EffectConverter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,FastBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,Fast24RgbBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,Fast32RgbBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,Fast32ArgbBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,ImageHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,WindowDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowDetails.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Effects,TornEdgeEffect,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\TornEdgeEffect.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IEInterop,IHTMLDocument2,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument2.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IEInterop,IHTMLWindow2,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLWindow2.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IniFile,IniSection,DesigniteProjects\greenshot\src\Greenshot.Base\IniFile\IniSection.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces,ICaptureDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ICaptureDetails.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces,ISurface,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ISurface.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing.Adorners,IAdorner,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\Adorners\IAdorner.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IDrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,EffectConverter,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EffectConverter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,FastChunkyBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,Fast32RgbBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,Fast32ArgbBitmap,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,ImageHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IEInterop,IHTMLWindow2,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLWindow2.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IniFile,IniConfig,DesigniteProjects\greenshot\src\Greenshot.Base\IniFile\IniConfig.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces,ICaptureDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ICaptureDetails.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces,ISurface,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ISurface.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,ICursorContainer,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\ICursorContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IDrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IDrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IFieldAggregator,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IFieldAggregator.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IIconContainer,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IIconContainer.cs,
