Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceBackgroundColorEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceDrawingModeEventArgs.cs,30
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceDrawingModeEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceElementEventArgs.cs,31
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceElementEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceForegroundColorEventArgs.cs,31
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceForegroundColorEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceLineThicknessEventArgs.cs,30
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceLineThicknessEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceMessageEventArgs.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceMessageEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceMessageTyp.cs,31
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceShadowEventArgs.cs,30
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceShadowEventHandler.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\SurfaceSizeChangeEventHandler.cs,27
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\EditStatus.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\ICursorContainer.cs,31
