Project,Design smell,Namespace,Class,File
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayNeedModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayNeedModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayRefundReturnModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayRefundReturnModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayRefundReturnOrderInfoModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayRefundReturnOrderInfoModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayRefundReturnResultModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayRefundReturnResultModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayResultModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayResultModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayReturnResultModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayReturnResultModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,ServerViewModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\ServerViewModel.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,SysUserInfoDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\SysUserInfoDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,TaskInfoDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\TaskInfoDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatApiDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatApiDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatCardMsgDetailDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatCardMsgDetailDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatMenuButtonDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatMenuButtonDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatPushCardMsgDetailDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatPushCardMsgDetailDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatPushTestDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatPushTestDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatTemplateList,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatTemplateList.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatValidDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatValidDto.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,WeChatXMLDto,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\WeChatXMLDto.cs
Blog.Core,Cyclically-dependent Modularization,Blog.Core.Model.Models,Topic,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\Topic.cs
Blog.Core,Insufficient Modularization,Blog.Core.Repository.Base,BaseRepository<TEntity>,DesigniteProjects\Blog.Core\Blog.Core.Repository\BASE\BaseRepository.cs
Blog.Core,Insufficient Modularization,Blog.Core.Repository.Base,BaseRepository<TEntity>,DesigniteProjects\Blog.Core\Blog.Core.Repository\BASE\BaseRepository.cs
Blog.Core,Insufficient Modularization,Blog.Core.IRepository.Base,IBaseRepository,DesigniteProjects\Blog.Core\Blog.Core.Repository\BASE\IBaseRepository.cs
Blog.Core,Insufficient Modularization,Blog.Core.IServices.BASE,IBaseServices,DesigniteProjects\Blog.Core\Blog.Core.IServices\BASE\IBaseServices.cs
Blog.Core,Insufficient Modularization,Blog.Core.Services,WeChatConfigServices,DesigniteProjects\Blog.Core\Blog.Core.Services\WeChatConfigServices.cs
Blog.Core,Insufficient Modularization,Blog.Core.Services.BASE,BaseServices<TEntity>,DesigniteProjects\Blog.Core\Blog.Core.Services\BASE\BaseServices.cs
Blog.Core,Insufficient Modularization,Blog.Core.Services.BASE,BaseServices<TEntity>,DesigniteProjects\Blog.Core\Blog.Core.Services\BASE\BaseServices.cs
